#{"t_start": 1762125823.7073977, "env_id": "None"}
r,l,t
472.40988,1000,1775.428687
535.3355,1000,1775.428692
389.99774,1000,1775.428696
490.40207,1000,1775.428701
506.29593,1000,1775.428706
352.46875,1000,1775.428711
513.37946,1000,1775.428715
308.49405,1000,1775.42872
513.9684,1000,1775.428725
440.92227,1000,1775.42873
437.41187,1000,1775.428734
553.22327,1000,1775.428739
414.81058,1000,1775.428743
42.858353,1000,1775.428748
605.26373,1000,1923.991349
603.7037,1000,1956.872555
206.8972,1000,2001.767909
254.03369,1000,2001.768001
590.2349,1000,2001.768013
516.31024,1000,2001.768019
554.2351,1000,2001.768051
650.0011,1000,2001.768055
789.3177,1000,2001.768061
643.6824,1000,2001.768065
323.07416,1000,2001.768069
613.334,1000,2001.768073
668.1185,1000,2001.768077
711.2486,1000,2001.76808
834.158,1000,2001.768085
521.35785,1000,2001.768089
569.0694,1000,2001.768094
465.711,1000,2001.768098
699.2697,1000,2001.768101
468.10388,1000,2001.768106
543.83215,1000,2001.76811
520.8024,1000,2001.768114
256.90927,1000,2001.768118
655.8152,1000,2001.768122
655.3206,1000,2001.768127
614.73254,1000,2001.768131
303.72263,1000,2001.768134
522.69855,1000,2001.768138
461.22116,1000,2001.768142
624.0138,1000,2001.768146
712.9527,1000,2001.76815
596.8739,1000,2001.768153
646.2694,1000,2001.768157
857.20526,1000,2001.768162
642.3763,1000,2001.768166
642.95795,1000,2001.76817
708.3651,1000,2001.768173
726.41705,1000,2001.768177
630.64014,1000,2001.768181
717.5185,1000,2001.768184
345.13705,1000,2151.138588
649.21655,1000,2185.138429
914.003,860,2187.983938
815.54486,1000,2194.808719
869.4376,1000,2194.808802
704.71606,1000,2194.808813
735.6169,1000,2194.808819
538.04236,1000,2194.808824
798.9585,1000,2194.808829
614.76953,1000,2194.808833
866.4233,1000,2194.808838
766.6702,1000,2194.808842
451.60864,1000,2194.808846
841.82385,1000,2194.808851
733.33685,1000,2194.808856
868.0904,1000,2194.80886
599.3713,1000,2194.808865
848.81116,1000,2194.808869
546.68475,1000,2194.808874
882.52057,1000,2194.808878
677.7784,1000,2194.808882
529.89294,1000,2194.808886
768.69086,1000,2194.80889
877.3631,1000,2194.808895
864.91455,1000,2194.808899
799.65924,1000,2194.808903
892.42706,1000,2194.808907
750.91315,1000,2194.808911
655.7771,1000,2194.808915
790.62897,1000,2194.808919
625.3126,1000,2194.808923
697.6579,1000,2194.808927
616.2172,1000,2194.808931
775.4255,1000,2194.808935
723.52966,1000,2194.808939
512.68115,1000,2194.808944
640.25916,1000,2194.808947
542.17554,1000,2194.808951
653.2471,1000,2194.808955
254.51065,1000,2194.808959
887.95996,1000,2341.453094
900.1049,999,2378.017785
584.38434,1000,2399.412559
910.60474,894,2400.922387
831.15314,1000,2405.598147
875.0965,1000,2405.598225
859.8559,1000,2405.598236
743.9745,1000,2405.598241
252.43172,1000,2405.598247
691.66974,1000,2405.598251
661.47424,1000,2405.598256
855.7833,1000,2405.598261
487.49554,1000,2405.598266
635.01935,1000,2405.598271
500.00623,1000,2405.598276
618.2692,1000,2405.598281
853.07434,1000,2405.598285
521.95966,1000,2405.598291
895.88794,1000,2405.598296
888.6843,1000,2405.5983
732.7349,1000,2405.598305
884.1312,1000,2405.59831
574.7474,1000,2405.598314
892.8904,1000,2405.598318
879.7339,1000,2405.598323
851.72675,1000,2405.598328
800.31464,1000,2405.598333
803.5413,1000,2405.598337
704.79895,1000,2405.598341
866.1083,1000,2405.598346
862.7183,1000,2405.59835
760.54504,1000,2405.598354
876.1949,1000,2405.598358
516.0954,1000,2405.598363
861.2918,1000,2405.598367
786.2926,1000,2405.598371
873.88763,1000,2405.598375
853.0207,1000,2405.59838
761.8229,1000,2405.598384
876.7484,1000,2405.598388
634.4339,1000,2521.522274
864.4204,1000,2527.654546
917.2055,828,2528.886714
903.8076,962,2549.654907
799.3538,1000,2549.85049
912.2061,878,2550.633079
905.30524,947,2553.559549
901.2008,988,2555.288479
900.9051,991,2555.419566
498.53546,1000,2555.823849
882.33936,1000,2555.823932
679.3599,1000,2555.823943
815.2607,1000,2555.823949
879.52954,1000,2555.823954
343.68158,1000,2555.823959
164.7014,1000,2555.823964
620.49756,1000,2555.823969
565.5134,1000,2555.823974
708.3854,1000,2555.823979
766.66595,1000,2555.823983
889.7983,1000,2555.823988
762.18054,1000,2555.823993
786.7335,1000,2555.823997
882.46014,1000,2555.824002
770.9691,1000,2555.824007
834.10956,1000,2555.824012
877.4508,1000,2555.824017
896.5463,1000,2555.824021
885.1894,1000,2555.824026
642.2417,1000,2555.82403
870.15466,1000,2555.824035
576.9828,1000,2555.82404
494.6805,1000,2555.824044
805.23145,1000,2555.824049
876.5119,1000,2555.824054
443.04364,1000,2555.824058
807.2878,1000,2555.824062
889.8385,1000,2555.824089
628.5295,1000,2555.824093
353.92056,1000,2555.824097
624.2579,1000,2745.711324
923.5065,765,2748.5761
823.0831,1000,2750.264572
919.80414,802,2750.327231
904.7054,953,2750.865873
917.70325,823,2751.359066
568.6548,1000,2751.604258
917.0051,830,2751.705993
916.4065,836,2752.004185
915.70013,843,2752.337752
914.9043,851,2752.728608
846.15784,1000,2752.975821
913.1059,869,2753.612248
494.24915,1000,2780.718423
911.8043,882,2780.929276
911.8005,882,2780.929371
910.9,891,2781.367722
908.4049,916,2781.957249
907.8068,922,2782.840058
907.69977,923,2782.892411
576.1071,1000,2783.990748
903.6047,964,2784.773663
838.08246,1000,2786.015863
848.7195,1000,2786.463824
860.5277,1000,2786.463925
877.7835,1000,2786.463938
884.32385,1000,2786.463945
677.78375,1000,2786.463951
701.98047,1000,2786.463956
878.6563,1000,2786.463961
863.6446,1000,2786.463967
770.553,1000,2786.463972
880.0061,1000,2786.463977
885.8733,1000,2786.463982
888.7728,1000,2786.463986
567.74,1000,2786.463991
858.1681,1000,2786.463996
794.9194,1000,2786.464
535.42554,1000,2786.464005
277.15836,1000,2786.464011
853.248,1000,2934.344726
755.36035,896,2937.049598
922.10455,779,2937.147756
915.00323,850,2937.243316
907.207,928,2937.337883
908.0047,920,2938.274199
912.7029,873,2938.510073
726.44946,1000,2938.97762
921.70496,783,2939.813116
916.9056,831,2940.345797
891.8769,1000,2940.647774
800.9619,951,2940.709996
597.4132,1000,2941.262399
323.83737,1000,2941.737072
909.2037,908,2942.076442
718.79877,1000,2942.374483
915.70056,843,2942.720064
690.0453,1000,2942.720156
888.517,1000,2943.347701
913.90826,861,2943.591892
861.68146,1000,2943.970297
399.9952,1000,2984.515085
896.5768,1000,2984.957524
632.63806,1000,3011.585366
596.87286,1000,3012.458909
729.35333,1000,3015.627331
896.2646,1000,3016.080224
579.36316,1000,3016.080308
726.98816,1000,3016.080319
747.982,1000,3016.080325
885.4063,1000,3016.08033
734.4017,1000,3016.080335
881.7566,1000,3016.08034
896.4964,1000,3016.080344
873.51715,1000,3016.080348
861.00214,1000,3016.080353
34.484047,1000,3016.080357
885.82404,1000,3016.080362
323.94452,1000,3016.080366
542.868,1000,3016.08037
918.20166,818,3089.182113
930.40204,696,3089.981586
922.40625,776,3126.789543
925.59973,744,3127.188656
923.90564,761,3127.438957
928.5996,714,3129.922727
923.3047,767,3130.614769
918.202,818,3131.09685
924.7058,753,3132.922413
885.92426,1000,3161.34573
882.7086,1000,3161.446224
910.9012,891,3161.504062
791.7274,1000,3161.556491
347.70816,1000,3161.661932
37.185493,1000,3162.591242
916.1023,839,3163.159475
339.86862,1000,3163.307274
904.60236,954,3164.799423
853.74756,1000,3165.546083
831.13794,1000,3166.045222
890.6586,1000,3166.392877
861.84174,1000,3167.633509
880.77905,1000,3167.879978
883.3428,1000,3168.275435
912.50635,875,3168.57602
889.66254,1000,3169.345215
910.6034,894,3169.493653
165.95288,1000,3198.46371
873.1586,1000,3198.914284
343.39142,1000,3198.914368
835.27826,1000,3198.914378
731.49335,1000,3198.914384
752.8567,1000,3198.914389
861.0023,1000,3198.914394
389.2273,1000,3198.914398
677.0598,1000,3198.914403
319.35046,1000,3198.914407
859.5073,1000,3198.914412
672.4115,1000,3198.914416
741.6503,1000,3198.91442
927.306,727,3272.358876
918.6999,813,3278.392322
822.3908,1000,3310.30558
255.83636,625,3310.588608
753.4297,1000,3312.737753
922.6015,774,3312.981951
839.63245,1000,3313.360365
918.00024,820,3313.557571
913.4025,866,3315.521874
871.15796,1000,3315.826996
893.0901,1000,3316.524064
634.55273,1000,3317.003741
889.9766,1000,3318.731965
914.205,858,3319.380496
930.69934,693,3347.388376
893.1351,1000,3349.033058
803.73083,1000,3349.089975
745.91364,1000,3349.242621
574.85657,1000,3350.174693
923.7027,763,3389.93867
680.35205,1000,3390.044174
878.8813,1000,3391.608898
918.8004,812,3392.335393
872.8896,1000,3392.876513
873.79376,1000,3393.235315
861.6681,1000,3394.502537
866.1122,1000,3395.125349
338.09137,1000,3395.42512
851.05646,1000,3396.215984
796.0682,1000,3396.369648
779.6338,1000,3426.321251
837.08905,1000,3426.74595
892.73334,1000,3426.746028
421.44724,1000,3426.746039
855.027,1000,3426.746044
876.36053,1000,3426.746049
371.6276,1000,3426.746054
866.6748,1000,3426.746058
864.91907,1000,3426.746063
883.3413,1000,3426.746067
